Item,Quantity,Original Price (INR),Price (USD),Link
50kΩ Trimpot,5,43.35,0.45,https://evelta.com/50k-0-5w-10-multiturn-trimpot-trimming-potentiometer-through-hole/?sku=184-3296W-1-503LF&utm_source=google&utm_campaign=20307996132&utm_medium=cpc&utm_content=&utm_term=&gad_source=1&gad_campaignid=20307998304&gbraid=0AAAAADwtsXk8sJm_3SIvzs_DeP1XvGvsj&gclid=CjwKCAjwy5rUBhB5EiwAIoAtCsLwnl8b3IhtdUNKHPCbZOxfbSaCKGKr6OBgIhOxITU-91g4u8ccJhoC2d4QAvD_BwE
1µF Capacitor,5,10,0.10,https://robu.in/product/1-uf-50v-through-hole-electrolytic-capacitor-pack-of-40/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWe29jKFuLmNRYvMoD8kza6IT&gclid=CjwKCAjwy5rUBhB5EiwAIoAtCgu2VfBEqY7ZQvCxDyF365ByL8W8BnTTUIvpjAtMrEO9P1hTtItHfhoC3Z0QAvD_BwE
10µF Capacitor,5,14.10,0.15,https://sharvielectronics.com/product/10uf-25v-electrolytic-capacitor/?srsltid=AfmBOoqoHvDa-FDjRm8AiqERqe1WGFEPNAea2arQ-puwExd7VQaL_Tm2sXw
Header,1,10.03,0.1,https://evelta.com/berg-strip-female-1x40-2-54-mm-0-1-inch-pitch/?sku=083-BS-F-1X40-254-S&utm_source=google&utm_campaign=23135541320&utm_medium=cpc&utm_content=779150519739&utm_term=&gad_source=1&gad_campaignid=23135541320&gbraid=0AAAAADwtsXlXLfhMJYwYoddL0eG4wq7Su&gclid=CjwKCAjw7p_UBhBlEiwAhpIs767Yy-WvBWhVbxMvS7gJqxCia0JHkVIfxZX3ghpydbuTaFA53cC95hoCkhQQAvD_BwE
1K Resistor,15,17.7,0.18,https://evelta.com/1-2k-ohm-resistance-pack-1-4-watt/?sku=083-R-THC-QW5-1K2&utm_source=google&utm_campaign=20307996132&utm_medium=cpc&utm_content=&utm_term=&gad_source=1&gad_campaignid=20307998304&gbraid=0AAAAADwtsXk8sJm_3SIvzs_DeP1XvGvsj&gclid=CjwKCAjw7p_UBhBlEiwAhpIs79Q-bqIk57VPL6m8wTEH-n8s4dHYVpjut5UypXcL62ZBRwYPKBeZtRoCn8cQAvD_BwE
NE555,5,145.0,1.51,https://robu.in/product/ne555p-texas-instruments-timer-single-precision-100-khz-pdip-8/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWe29jKFuLmNRYvMoD8kza6IT&gclid=CjwKCAjw7p_UBhBlEiwAhpIs7-nvbg9-ZeByVLnQ_n5pcgnHF80hgHUa6J2HdI6vRjY_lDBXDUAtJRoC8pMQAvD_BwE
5mm LED,60,97.20,1.02,https://robu.in/product/tj-l5fytghrmfclflc2r-a5-togialed-20ma-foggy-red-lens-20℃80℃-red-45-5mm-round-lamp-head-plugind5mm-led-indication-discrete-rohs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWe29jKFuLmNRYvMoD8kza6IT&gclid=CjwKCAjw7p_UBhBlEiwAhpIs7xMSCF1EnJSn_Ra_aQcRMWsWm3GcCS8wEfU2ZfFidv6TCXfHOcFwsRoCSQcQAvD_BwE
CD4017BE,5,295.0,3.08,https://robu.in/product/cd4017be-texas-instruments-counter-decade-divider-5-5-mhz-5-count-3-v-to-18-v-supply-55-c-to-125-c-pdip-16/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWe29jKFuLmNRYvMoD8kza6IT&gclid=CjwKCAjw7p_UBhBlEiwAhpIs76x3WjP3nSSehy7yFIsXfG_Y-LyciJUcFDY0hBYCP7EhXFDd_HkGQxoCEFkQAvD_BwE
9V Battery,5,125.0,1.31,https://robocraze.com/products/9v-battery?variant=40192334495897&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=cpc&utm_campaign=BL+|+Pmax+|+Feed+Only+|+Display+|+31/05&utm_source=googleads&utm_medium=ppc&utm_campaign=21404823038&utm_content=_&utm_term=&campaignid=21404823038&adgroupid=&campaign=21404823038&gad_source=1&gad_campaignid=21408878617&gbraid=0AAAAADgHQvaslzc2OP-r7zK8RuUQ5hdWJ&gclid=CjwKCAjw7p_UBhBlEiwAhpIs76R5qI5oaYOtwj55sDfox1AUUbXmOuufKRr8sy5guP0jtJLemo-JrhoC__4QAvD_BwE
Battery Connector,5,53.1,0.55,https://evelta.com/battery-snap-connector-150mm-wire-dck1/?srsltid=AfmBOor0ZvkmNtHgPoMNp_SYDOOD01uJjyVefwZ0C9l9AlZnrfMSxCry
PCB Manufacturing,5,1000.0,10.44,https://robu.in/product/online-pcb-manufacturing-service/
Shipping,1,,5.96,
TOTAL,,,24.85,
