ID,Name,Quantity,Price,link
1,50kΩ,5,43.35,https://evelta.com/50k-0-5w-10-multiturn-trimpot-trimming-potentiometer-through-hole/?sku=184-3296W-1-503LF&utm_source=google&utm_campaign=20307996132&utm_medium=cpc&utm_content=&utm_term=&gad_source=1&gad_campaignid=20307998304&gbraid=0AAAAADwtsXnWe6oXOy2a2SHnZzLpM8LKc&gclid=Cj0KCQjw-frTBhCvARIsADv4XY6DpsBjQbiy-30-1ObvMJLSEY2F-Or-ZtAaRuPbZeVaVd_6ildajdIaAtwsEALw_wcB
2,1uF 10V,5,50,https://quartzcomponents.com/products/1uf-105-ceramic-capacitor-pack-of-5?variant=43181466026218&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20251762959&gbraid=0AAAAACPPFdPmYE4oVoezoGun6-XsYtuxz&gclid=Cj0KCQjw-frTBhCvARIsADv4XY6ltcQJEWbeyZyZc1hID1fIaEvsdP6sPtM38as2zCH3BWfVKVeX9GgaAttGEALw_wcB
3,10uF,7,9.03,https://robu.in/product/10-uf-25v-through-hole-electrolytic-capacitor-pack-of-40/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcFc0Oy1eZX63Q5bMNWYIeFj&gclid=Cj0KCQjw-frTBhCvARIsADv4XY49O7-ldXBUmq2_63EtVtJkJAn5bjvcCd8b1_686WS5BqIyYWQf5RoaAnoSEALw_wcB
4,KH-2.54PH90-1X2P-L13.8,1,9,https://robu.in/product/2-54mm-1x40-pin-male-single-row-straight-short-header-strip-pack-of-3/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcFc0Oy1eZX63Q5bMNWYIeFj&gclid=Cj0KCQjw-frTBhCvARIsADv4XY7C_5ESGXD9e3NM8093AgjFMU6o1IrutVga8N4Dv1rue2I-_R77yj0aAnKQEALw_wcB
5,1K,15,14.7,https://robu.in/product/1k-ohm-0-5w-metal-film-resistor-pack-of-50/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcFc0Oy1eZX63Q5bMNWYIeFj&gclid=Cj0KCQjw-frTBhCvARIsADv4XY6UTlbNsJ0wTjUnzVTN1DdzSqa8PNB0OA-RDG6R_XqR5XjiA-nnsuIaAgmJEALw_wcB
6,NE555_C504550,5,145,https://robu.in/product/ne555p-texas-instruments-timer-single-precision-100-khz-pdip-8/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcFc0Oy1eZX63Q5bMNWYIeFj&gclid=Cj0KCQjw-frTBhCvARIsADv4XY4r-fIWj0YCQW7FZ6MoXl047UaCCRLkYDR_IIYKsHYxaV3V_PM9qEIaAvO-EALw_wcB
7,5MM LED W-BLUE,100,113,https://evelta.com/5-mm-red-led/?sku=083-RD-LED-5MM&utm_source=google&utm_campaign=20308067004&utm_medium=cpc&utm_content=&utm_term=&gad_source=1&gad_campaignid=20317564702&gbraid=0AAAAADwtsXkjh8MsHmFukxqKXrMZao3ub&gclid=Cj0KCQjw-frTBhCvARIsADv4XY75uLGpHKtu_-YWuVTM0cldIyLQ6MLM429uz-9MiCUZLjeRFJPorfkaAksmEALw_wcB
8,CD4017BE,5,295,https://robu.in/product/cd4017be-texas-instruments-counter-decade-divider-5-5-mhz-5-count-3-v-to-18-v-supply-55-c-to-125-c-pdip-16/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcFc0Oy1eZX63Q5bMNWYIeFj&gclid=Cj0KCQjw-frTBhCvARIsADv4XY44sVqBZkIwqWBM6TLmlS2K3kjnVLExzO6gRqTpQmrNj5U_76Lj8ocaAtP1EALw_wcB
,9V Battery,5,125,https://quartzcomponents.com/products/orignal-hi-watt-9v-high-quality-battery?variant=46153826402538&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=23763047949&gbraid=0AAAAACPPFdNeTlm7OPt_i7-wLCiieD3JT&gclid=Cj0KCQjw-frTBhCvARIsADv4XY7tOS0LCVPgPQ1QO-rZ_kHgjCU84_4cEA9inhs4CV47bTeCLTn5u4AaAh3qEALw_wcB
,Battery connectors,5,19,https://robu.in/product/9v-pvc-hard-top-type-battery-snap-2-pins-connector/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWetq35YH91NQU6mJQSgwEF4R&gclid=Cj0KCQjw-frTBhCvARIsADv4XY6EXBr78SEpTN2KUGBT4RwgLXpv8Pu25UAw7B18asbmEmOIpRDckFQaAjc3EALw_wcB
,PCB,5,1000,
,TOTAL,,1823,
